,Document 1,Document 2,Document 3
firm,36.0,31.0,25.0
datum,27.0,20.0,26.0
risk,25.0,18.0,8.0
machine,21.0,15.0,10.0
bank,19.0,11.0,11.0
ml,16.0,37.0,
supervisor,15.0,1.0,14.0
example,14.0,12.0,11.0
ai,14.0,46.0,3.0
supervision,12.0,1.0,19.0
pra,11.0,1.0,11.0
strategy,10.0,1.0,3.0
credit,10.0,2.0,2.0
rulebook,10.0,,1.0
analytic,10.0,1.0,1.0
use,9.0,10.0,
change,9.0,8.0,11.0
require,9.0,4.0,4.0
need,8.0,11.0,9.0
set,8.0,3.0,4.0
time,8.0,2.0,12.0
letter,8.0,,2.0
automation,7.0,5.0,9.0
learning,7.0,3.0,2.0
soundness,7.0,3.0,5.0
regulator,7.0,6.0,6.0
face,7.0,1.0,2.0
safety,7.0,3.0,5.0
human,7.0,5.0,4.0
information,6.0,1.0,7.0
part,6.0,1.0,
form,6.0,1.0,1.0
supervise,6.0,,4.0
work,6.0,1.0,7.0
increase,6.0,7.0,2.0
learn,6.0,3.0,2.0
technology,6.0,10.0,26.0
research,5.0,,
figure,5.0,,
complexity,5.0,,
business,5.0,2.0,5.0
way,5.0,4.0,15.0
base,5.0,3.0,3.0
write,5.0,,2.0
union,5.0,,
board,5.0,14.0,3.0
advance,5.0,,6.0
analyse,5.0,,5.0
mitigate,5.0,3.0,2.0
line,5.0,1.0,2.0
england,5.0,4.0,5.0
tool,5.0,3.0,
model,5.0,6.0,1.0
algorithm,5.0,3.0,
future,4.0,1.0,5.0
rule,4.0,1.0,15.0
intelligence,4.0,10.0,1.0
failure,4.0,1.0,
enable,4.0,1.0,1.0
perform,4.0,2.0,
improve,4.0,3.0,3.0
cost,4.0,2.0,5.0
range,4.0,3.0,1.0
communication,4.0,,
power,4.0,1.0,1.0
judgement,4.0,1.0,7.0
task,4.0,4.0,2.0
system,4.0,9.0,3.0
source,4.0,1.0,2.0
banking,4.0,4.0,
text,4.0,,2.0
uk,4.0,7.0,3.0
send,4.0,1.0,
customer,3.0,5.0,
mortgage,3.0,,
data,3.0,2.0,4.0
approach,3.0,5.0,7.0
method,3.0,,
develop,3.0,2.0,2.0
management,3.0,8.0,3.0
make,3.0,,4.0
teach,3.0,2.0,
look,3.0,2.0,2.0
link,3.0,,
nature,3.0,1.0,
technique,3.0,5.0,2.0
assessment,3.0,3.0,2.0
app,3.0,,
laundering,3.0,3.0,
lending,3.0,1.0,1.0
analysis,3.0,1.0,4.0
explore,3.0,1.0,5.0
working,3.0,,
financial,3.0,1.0,
focus,3.0,7.0,1.0
volume,3.0,3.0,
help,3.0,2.0,2.0
understand,3.0,3.0,4.0
identify,3.0,1.0,2.0
train,3.0,2.0,
industry,3.0,2.0,3.0
trading,3.0,4.0,
introduce,3.0,1.0,4.0
investment,3.0,2.0,
doctor,3.0,,
outcome,3.0,10.0,1.0
number,3.0,1.0,
bring,3.0,2.0,
collect,3.0,,3.0
process,3.0,5.0,9.0
come,3.0,1.0,3.0
reporting,3.0,,1.0
report,3.0,5.0,3.0
cancer,3.0,,
provider,3.0,1.0,
relationship,3.0,,
stability,3.0,,1.0
recognise,3.0,,1.0
result,3.0,4.0,
service,3.0,10.0,1.0
recognition,3.0,,
refer,3.0,,1.0
software,3.0,2.0,
staff,3.0,4.0,
return,3.0,2.0,
reference,3.0,,
start,3.0,,
role,3.0,7.0,2.0
scale,3.0,3.0,
quality,3.0,2.0,1.0
society,2.0,1.0,
investigate,2.0,,
introduction,2.0,10.0,5.0
involve,2.0,,
intervene,2.0,,
rely,2.0,,1.0
j,2.0,,
setting,2.0,,
treatment,2.0,,
trend,2.0,,
requirement,2.0,,2.0
imply,2.0,3.0,
judgment,2.0,,
resource,2.0,,1.0
underwriting,2.0,,
free,2.0,,1.0
flow,2.0,1.0,1.0
want,2.0,,1.0
win,2.0,,
find,2.0,,4.0
finance,2.0,,1.0
word,2.0,1.0,
factor,2.0,,
accelerate,2.0,,
plenty,2.0,,2.0
regulate,2.0,2.0,3.0
problem,2.0,7.0,7.0
run,2.0,,
project,2.0,2.0,
produce,2.0,2.0,
suggest,2.0,5.0,
monitoring,2.0,1.0,1.0
structure,2.0,2.0,1.0
strength,2.0,,1.0
k,2.0,,
new,2.0,,
node,2.0,,
possibility,2.0,,1.0
paper,2.0,,1.0
step,2.0,2.0,3.0
stay,2.0,,
speech,2.0,1.0,2.0
message,2.0,,
medium,2.0,,3.0
matter,2.0,,
market,2.0,3.0,2.0
prudential,2.0,1.0,2.0
m,2.0,,
extent,2.0,5.0,1.0
loan,2.0,,
quantify,2.0,,
quantity,2.0,,
lie,2.0,,2.0
level,2.0,2.0,3.0
reader,2.0,,
pilot,2.0,,
lead,2.0,2.0,
language,2.0,,3.0
term,2.0,,1.0
ability,2.0,1.0,4.0
